nameOfIssuer	titleOfClass	cusip	value	sshPrnamt	sshPrnamtType	investmentDiscretion	Sole	Shared	None	otherManager	putCall
SILVER WHEATON CORP	COM	828336107	24299	1257718	SH	SOLE	1257718	0	0	n/a	n/a
SILVERCREST ASSET MGMT GROUP	CL A	828359109	38	2889	SH	SOLE	2889	0	0	n/a	n/a
SIMMONS 1ST NATL CORP	CL A $1 PAR	828730200	961	15458	SH	SOLE	15458	0	0	n/a	n/a
SIMON PPTY GROUP INC NEW	COM	828806109	217320	1223167	SH	SOLE	1219827	0	3340	n/a	n/a
SIMON PPTY GROUP INC NEW	COM	828806109	22394	126043	SH	SOLE	0	0	126043	2	n/a
SIMPSON MANUFACTURING CO INC	COM	829073105	951	21737	SH	SOLE	21737	0	0	n/a	n/a
SINA CORP	OPTIONS	G81477104	152	2500	SH	OTR	2500	0	0	n/a	Put
SINA CORP	ORD	G81477104	17	280	SH	OTR	280	0	0	n/a	n/a
SINA CORP	ORD	G81477104	4715	77556	SH	SOLE	77556	0	0	n/a	n/a
SINCLAIR BROADCAST GROUP INC	CL A	829226109	4789	143597	SH	SOLE	143597	0	0	n/a	n/a
SIRIUS XM HLDGS INC	COM	82968B103	4779	1073867	SH	SOLE	1073867	0	0	n/a	n/a
SITEONE LANDSCAPE SUPPLY INC	COM	82982L103	277	7978	SH	SOLE	7978	0	0	n/a	n/a
SIX FLAGS ENTMT CORP NEW	COM	83001A102	2693	44920	SH	SOLE	44920	0	0	n/a	n/a
SJW GROUP	COM	784305104	798	14261	SH	SOLE	14261	0	0	n/a	n/a
SK TELECOM LTD	SPONSORED ADR	78440P108	9350	447370	SH	SOLE	447370	0	0	n/a	n/a
SKECHERS U S A INC	CL A	830566105	17261	702218	SH	SOLE	702218	0	0	n/a	n/a
SKECHERS U S A INC	CL A	830566105	248	10100	SH	SOLE	0	0	10100	2	n/a
SKYWEST INC	COM	830879102	979	26869	SH	SOLE	26869	0	0	n/a	n/a
SKYWORKS SOLUTIONS INC	COM	83088M102	29615	396664	SH	SOLE	396664	0	0	n/a	n/a
SKYWORKS SOLUTIONS INC	COM	83088M102	8389	112369	SH	SOLE	0	0	112369	2	n/a
SL GREEN RLTY CORP	COM	78440X101	12262	114016	SH	SOLE	114016	0	0	n/a	n/a
SL GREEN RLTY CORP	COM	78440X101	5637	52410	SH	SOLE	0	0	52410	2	n/a
SLM CORP	COM	78442P106	129100	11715087	SH	SOLE	11715087	0	0	n/a	n/a
SM ENERGY CO	COM	78454L100	14093	408727	SH	SOLE	408727	0	0	n/a	n/a
SM ENERGY CO	COM	78454L100	248	7200	SH	SOLE	0	0	7200	2	n/a
SMART & FINAL STORES INC	COM	83190B101	8248	584941	SH	SOLE	584941	0	0	n/a	n/a
SMART & FINAL STORES INC	COM	83190B101	120	8510	SH	SOLE	0	0	8510	2	n/a
SMART SAND INC	COM	83191H107	77	4673	SH	SOLE	4673	0	0	n/a	n/a
SMITH & WESSON HLDG CORP	COM	831756101	616	29205	SH	SOLE	29205	0	0	n/a	n/a
SMITH A O	COM	831865209	16966	358305	SH	SOLE	344892	0	13413	n/a	n/a
SMITH A O	COM	831865209	5527	116716	SH	SOLE	0	0	116716	2	n/a
SMITH MICRO SOFTWARE INC	COM NEW	832154207	5	3086	SH	SOLE	3086	0	0	n/a	n/a
SMUCKER J M CO	COM NEW	832696405	7260	56690	SH	SOLE	56690	0	0	n/a	n/a
SMUCKER J M CO	COM NEW	832696405	9901	77315	SH	SOLE	0	0	77315	2	n/a
SNAP ON INC	COM	833034101	19243	112357	SH	SOLE	112357	0	0	n/a	n/a
SNAP ON INC	COM	833034101	6847	39977	SH	SOLE	0	0	39977	2	n/a
SNYDERS-LANCE INC	COM	833551104	1647	42958	SH	SOLE	42958	0	0	n/a	n/a
SOLAREDGE TECHNOLOGIES INC	COM	83417M104	53	4302	SH	SOLE	4302	0	0	n/a	n/a
SOLITARIO EXPL & RTY CORP	COM	8342EP107	9	15315	SH	SOLE	15315	0	0	n/a	n/a
SONIC AUTOMOTIVE INC	CL A	83545G102	1614	70490	SH	SOLE	70490	0	0	n/a	n/a
SONIC CORP	COM	835451105	646	24358	SH	SOLE	24358	0	0	n/a	n/a
SONIC FDRY INC	COM NEW	83545R207	11	2214	SH	SOLE	2214	0	0	n/a	n/a
SONOCO PRODS CO	COM	835495102	3071	58273	SH	SOLE	58273	0	0	n/a	n/a
SONOMA PHARMACEUTICALS INC	*W EXP 01/21/202	83558L113	8	20202	SH	OTR	20202	0	0	n/a	n/a
SONUS NETWORKS INC	COM NEW	835916503	164	26030	SH	SOLE	26030	0	0	n/a	n/a
SORRENTO THERAPEUTICS INC	COM NEW	83587F202	74	15097	SH	SOLE	15097	0	0	n/a	n/a
SOTHEBYS	COM	835898107	1039	26078	SH	SOLE	26078	0	0	n/a	n/a
SOUTH JERSEY INDS INC	COM	838518108	9738	289039	SH	SOLE	289039	0	0	n/a	n/a
SOUTH ST CORP	COM	840441109	1315	15044	SH	SOLE	15044	0	0	n/a	n/a
SOUTHERN CO	COM	842587107	3730	75835	SH	SOLE	75835	0	0	n/a	n/a
SOUTHERN CO	COM	842587107	22209	451500	SH	SOLE	0	0	451500	2	n/a
SOUTHERN COPPER CORP	COM	84265V105	7967	249449	SH	SOLE	249449	0	0	n/a	n/a
SOUTHERN FIRST BANCSHARES IN	COM	842873101	76	2117	SH	SOLE	2117	0	0	n/a	n/a
SOUTHERN MO BANCORP INC	COM	843380106	74	2097	SH	SOLE	2097	0	0	n/a	n/a
SOUTHERN NATL BANCORP OF VA	COM	843395104	65	3965	SH	SOLE	3965	0	0	n/a	n/a
SOUTHSIDE BANCSHARES INC	COM	84470P109	523	13889	SH	SOLE	13889	0	0	n/a	n/a
SOUTHWEST AIRLS CO	COM	844741108	170651	3423967	SH	SOLE	3423967	0	0	n/a	n/a
SOUTHWEST AIRLS CO	COM	844741108	6052	121429	SH	SOLE	0	0	121429	2	n/a
SOUTHWEST BANCORP INC OKLA	COM	844767103	296	10208	SH	SOLE	10208	0	0	n/a	n/a
SOUTHWEST GAS CORP	COM	844895102	9280	121118	SH	SOLE	121118	0	0	n/a	n/a
SOUTHWESTERN ENERGY CO	COM	845467109	2873	265486	SH	SOLE	265486	0	0	n/a	n/a
SOUTHWESTERN ENERGY CO	COM	845467109	3015	278665	SH	SOLE	0	0	278665	2	n/a
SP PLUS CORP	COM	78469C103	260	9224	SH	SOLE	9224	0	0	n/a	n/a
SPANISH BROADCASTING SYS INC	CL A NEW	846425833	5	1474	SH	SOLE	1474	0	0	n/a	n/a
SPAR GROUP INC	COM	784933103	3	3165	SH	SOLE	3165	0	0	n/a	n/a
SPARK ENERGY INC	CL A COM	846511103	742	24483	SH	SOLE	24483	0	0	n/a	n/a
SPARK THERAPEUTICS INC	COM	84652J103	5068	101569	SH	SOLE	101569	0	0	n/a	n/a
SPARK THERAPEUTICS INC	COM	84652J103	1272	25500	SH	SOLE	25500	0	0	2	n/a
SPARTAN MTRS INC	COM	846819100	162	17546	SH	SOLE	17546	0	0	n/a	n/a
SPARTANNASH CO	COM	847215100	2988	75568	SH	SOLE	75568	0	0	n/a	n/a
SPARTON CORP	COM	847235108	82	3450	SH	SOLE	3450	0	0	n/a	n/a
SPDR GOLD TRUST	GOLD SHS	78463V107	1110449	10130906	SH	SOLE	10130906	0	0	n/a	n/a
SPDR GOLD TRUST	OPTIONS	78463V107	470261	4290300	SH	SOLE	4290300	0	0	n/a	Call
SPDR INDEX SHS FDS	OPTIONS	78463X202	1078	32200	SH	OTR	32200	0	0	n/a	Call
SPDR INDEX SHS FDS	OPTIONS	78463X202	365	10900	SH	OTR	10900	0	0	n/a	Put
SPDR S&P 500 ETF TR	OPTIONS	78462F103	3155707	14117600	SH	SOLE	14117600	0	0	n/a	Call
SPDR S&P 500 ETF TR	OPTIONS	78462F103	330824	1480000	SH	SOLE	1465000	0	15000	n/a	Put
SPDR S&P 500 ETF TR	TR UNIT	78462F103	224	1000	SH	OTR	1000	0	0	n/a	n/a
SPDR SER TR	BLOOMBERG SRT TR	78468R408	1329	48000	SH	SOLE	48000	0	0	n/a	n/a
SPDR SERIES TRUST	NUV HGHYLD MUN	78464A284	5597	100000	SH	SOLE	100000	0	0	n/a	n/a
SPDR SERIES TRUST	BLOOMBERG BRCLYS	78464A417	370042	10152034	SH	SOLE	10152034	0	0	n/a	n/a
SPDR SERIES TRUST	BLOMBERG INTL TR	78464A516	3549	136622	SH	SOLE	136622	0	0	n/a	n/a
SPDR SERIES TRUST	OPTIONS	78464A714	19307	438100	SH	SOLE	438100	0	0	n/a	Call
SPDR SERIES TRUST	OPTIONS	78464A714	96478	2189200	SH	SOLE	2189200	0	0	n/a	Put
SPDR SERIES TRUST	OPTIONS	78464A730	11370	274500	SH	SOLE	274500	0	0	n/a	Call
SPDR SERIES TRUST	OPTIONS	78464A730	273	6600	SH	SOLE	0	0	6600	n/a	Put
SPDR SERIES TRUST	S&P OILGAS EXP	78464A730	11027	266215	SH	SOLE	266215	0	0	n/a	n/a
SPECTRA ENERGY CORP	COM	847560109	96781	2355331	SH	SOLE	2355331	0	0	n/a	n/a
SPECTRA ENERGY CORP	COM	847560109	12164	296040	SH	SOLE	0	0	296040	2	n/a
SPECTRANETICS CORP	COM	84760C107	565	23068	SH	SOLE	23068	0	0	n/a	n/a
SPECTRUM BRANDS HLDGS INC	COM	84763R101	1794	14668	SH	SOLE	14668	0	0	n/a	n/a
SPECTRUM BRANDS HLDGS INC	COM	84763R101	4505	36829	SH	SOLE	0	0	36829	2	n/a
SPECTRUM PHARMACEUTICALS INC	COM	84763A108	824	185952	SH	SOLE	185952	0	0	n/a	n/a
SPEEDWAY MOTORSPORTS INC	COM	847788106	125	5765	SH	SOLE	5765	0	0	n/a	n/a
SPIRE INC	COM	84857L101	3319	51425	SH	SOLE	51425	0	0	n/a	n/a
SPIRIT AEROSYSTEMS HLDGS INC	COM CL A	848574109	8054	138023	SH	SOLE	138023	0	0	n/a	n/a
SPIRIT AIRLS INC	COM	848577102	2401	41495	SH	SOLE	41495	0	0	n/a	n/a
SPIRIT RLTY CAP INC NEW	COM	84860W102	6261	576490	SH	SOLE	576490	0	0	n/a	n/a
SPLUNK INC	COM	848637104	4045	79082	SH	SOLE	79082	0	0	n/a	n/a
SPOK HLDGS INC	COM	84863T106	232	11171	SH	SOLE	11171	0	0	n/a	n/a
SPORTSMANS WHSE HLDGS INC	COM	84920Y106	129	13771	SH	SOLE	13771	0	0	n/a	n/a
SPRINT CORP	COM SER 1	85207U105	3695	438875	SH	SOLE	438875	0	0	n/a	n/a
SPRINT CORP	COM SER 1	85207U105	4393	521735	SH	SOLE	0	0	521735	2	n/a
SPROTT PHYSICAL SILVER TR	TR UNIT	85207K107	1139	187400	SH	SOLE	187400	0	0	n/a	n/a
SPROUTS FMRS MKT INC	COM	85208M102	1540	81392	SH	SOLE	81392	0	0	n/a	n/a
SPS COMM INC	COM	78463M107	619	8851	SH	SOLE	8851	0	0	n/a	n/a
SPX CORP	COM	784635104	8851	373159	SH	SOLE	373159	0	0	n/a	n/a
SPX FLOW INC	COM	78469X107	616	19218	SH	SOLE	19218	0	0	n/a	n/a
SQUARE INC	CL A	852234103	58311	4278152	SH	SOLE	4278152	0	0	n/a	n/a
SS&C TECHNOLOGIES HLDGS INC	COM	78467J100	3381	118223	SH	SOLE	99875	0	18348	n/a	n/a
ST JOE CO	COM	790148100	143352	7544829	SH	SOLE	7544829	0	0	n/a	n/a
ST JUDE MED INC	COM	790849103	10015	125159	SH	SOLE	125159	0	0	n/a	n/a
ST JUDE MED INC	COM	790849103	392	4896	SH	OTR	4896	0	0	n/a	n/a
STAAR SURGICAL CO	COM PAR $0.01	852312305	212	19517	SH	SOLE	19517	0	0	n/a	n/a
STAG INDL INC	COM	85254J102	21413	897073	SH	SOLE	897073	0	0	n/a	n/a
STAGE STORES INC	COM NEW	85254C305	58	13221	SH	SOLE	13221	0	0	n/a	n/a
STAMPS COM INC	COM NEW	852857200	994	8673	SH	SOLE	8673	0	0	n/a	n/a
STANDARD MTR PRODS INC	COM	853666105	583	10949	SH	SOLE	10949	0	0	n/a	n/a
STANDEX INTL CORP	COM	854231107	601	6846	SH	SOLE	6846	0	0	n/a	n/a
STANLEY BLACK & DECKER INC	COM	854502101	23664	206332	SH	SOLE	206332	0	0	n/a	n/a
STANLEY BLACK & DECKER INC	COM	854502101	10506	91601	SH	SOLE	0	0	91601	2	n/a
STAPLES INC	COM	855030102	5392	595756	SH	SOLE	595756	0	0	n/a	n/a
STAPLES INC	COM	855030102	4364	482178	SH	SOLE	0	0	482178	2	n/a
STARBUCKS CORP	COM	855244109	81743	1472319	SH	SOLE	1443814	0	28505	n/a	n/a
STARBUCKS CORP	COM	855244109	47260	851219	SH	SOLE	0	0	851219	2	n/a
STARTEK INC	COM	85569C107	28	3340	SH	SOLE	3340	0	0	n/a	n/a
STARWOOD PPTY TR INC	COM	85571B105	53972	2458858	SH	SOLE	2458858	0	0	n/a	n/a
STATE AUTO FINL CORP	COM	855707105	233	8685	SH	SOLE	8685	0	0	n/a	n/a
STATE BK FINL CORP	COM	856190103	513	19083	SH	SOLE	19083	0	0	n/a	n/a
STATE NATL COS INC	COM	85711T305	237	17102	SH	SOLE	17102	0	0	n/a	n/a
STATE STR CORP	COM	857477103	2440	31390	SH	OTR	0	31390	0	n/a	n/a
STATE STR CORP	COM	857477103	2154	27716	SH	SOLE	27716	0	0	n/a	n/a
STATE STR CORP	COM	857477103	15652	201395	SH	SOLE	0	0	201395	2	n/a
STATOIL ASA	SPONSORED ADR	85771P102	19588	1073890	SH	SOLE	1073890	0	0	n/a	n/a
STEEL DYNAMICS INC	COM	858119100	7448	209323	SH	SOLE	209323	0	0	n/a	n/a
STEELCASE INC	CL A	858155203	5876	328242	SH	SOLE	328242	0	0	n/a	n/a
STEIN MART INC	COM	858375108	81	14869	SH	SOLE	14869	0	0	n/a	n/a
STEMLINE THERAPEUTICS INC	COM	85858C107	100	9346	SH	SOLE	9346	0	0	n/a	n/a
STEPAN CO	COM	858586100	5668	69566	SH	SOLE	69566	0	0	n/a	n/a
STERICYCLE INC	COM	858912108	13098	170013	SH	SOLE	170013	0	0	n/a	n/a
STERICYCLE INC	DEP PFD A 1/10	858912207	27583	435955	SH	SOLE	435955	0	0	n/a	n/a
STERIS PLC	SHS USD	G84720104	867	12865	SH	SOLE	12865	0	0	n/a	n/a
STERLING BANCORP DEL	COM	85917A100	1590	67931	SH	SOLE	67931	0	0	n/a	n/a
STERLING CONSTRUCTION CO INC	COM	859241101	43	5074	SH	SOLE	5074	0	0	n/a	n/a
STEWART INFORMATION SVCS COR	COM	860372101	569	12351	SH	SOLE	12351	0	0	n/a	n/a
STIFEL FINL CORP	COM	860630102	6702	134182	SH	SOLE	134182	0	0	n/a	n/a
STILLWATER MNG CO	COM	86074Q102	1057	65605	SH	SOLE	65605	0	0	n/a	n/a
STOCK YDS BANCORP INC	COM	861025104	560	11938	SH	SOLE	11938	0	0	n/a	n/a
STONEGATE BK FT LAUDERDALE F	COM	861811107	294	7051	SH	SOLE	7051	0	0	n/a	n/a
STONERIDGE INC	COM	86183P102	246	13907	SH	SOLE	13907	0	0	n/a	n/a
STORE CAP CORP	COM	862121100	4684	189556	SH	SOLE	189556	0	0	n/a	n/a
STRAIGHT PATH COMMUNICATNS I	CL B	862578101	174	5125	SH	SOLE	5125	0	0	n/a	n/a
STRATASYS LTD	SHS	M85548101	303	18302	SH	SOLE	18302	0	0	n/a	n/a
STRATTEC SEC CORP	COM	863111100	79	1955	SH	SOLE	1955	0	0	n/a	n/a
STRATUS PPTYS INC	COM NEW	863167201	79	2399	SH	SOLE	2399	0	0	n/a	n/a
STRAYER ED INC	COM	863236105	451	5595	SH	SOLE	5595	0	0	n/a	n/a
STRONGBRIDGE BIOPHARMA PLC	SHS USD	G85347105	73	30582	SH	SOLE	30582	0	0	n/a	n/a
STRYKER CORP	COM	863667101	151375	1263461	SH	SOLE	1263461	0	0	n/a	n/a
STRYKER CORP	COM	863667101	4002	33400	SH	SOLE	33400	0	0	2	n/a
STURM RUGER & CO INC	COM	864159108	515	9767	SH	SOLE	9767	0	0	n/a	n/a
SUCAMPO PHARMACEUTICALS INC	CL A	864909106	1510	111434	SH	SOLE	111434	0	0	n/a	n/a
SUFFOLK BANCORP	COM	864739107	277	6463	SH	SOLE	6463	0	0	n/a	n/a
SUMMIT FINANCIAL GROUP INC	COM	86606G101	157	5689	SH	SOLE	5689	0	0	n/a	n/a
SUMMIT HOTEL PPTYS	COM	866082100	4024	251002	SH	SOLE	251002	0	0	n/a	n/a
SUMMIT MATLS INC	CL A	86614U100	2389	100428	SH	SOLE	100428	0	0	n/a	n/a
SUN BANCORP INC	COM NEW	86663B201	156	6019	SH	SOLE	6019	0	0	n/a	n/a
SUN CMNTYS INC	COM	866674104	12713	165943	SH	SOLE	165943	0	0	n/a	n/a
SUN HYDRAULICS CORP	COM	866942105	507	12681	SH	SOLE	12681	0	0	n/a	n/a
SUNCOKE ENERGY INC	COM	86722A103	418	36846	SH	SOLE	36846	0	0	n/a	n/a
SUNCOR ENERGY INC NEW	COM	867224107	3398	103942	SH	OTR	0	103942	0	n/a	n/a
SUNCOR ENERGY INC NEW	COM	867224107	408308	12490288	SH	SOLE	12490288	0	0	n/a	n/a
SUNESIS PHARMACEUTICALS INC	COM PAR	867328700	8	2343	SH	SOLE	2343	0	0	n/a	n/a
SUNOCO LOGISTICS PRTNRS L P	COM UNITS	86764L108	23753	988883	SH	SOLE	988883	0	0	n/a	n/a
SUNOPTA INC	COM	8676EP108	396	56165	SH	SOLE	56165	0	0	n/a	n/a
SUNPOWER CORP	COM	867652406	21	3181	SH	OTR	3181	0	0	n/a	n/a
SUNPOWER CORP	COM	867652406	265	40129	SH	SOLE	40129	0	0	n/a	n/a
SUNPOWER CORP	OPTIONS	867652406	56	8500	SH	OTR	8500	0	0	n/a	Put
SUNRUN INC	COM	86771W105	120	22537	SH	SOLE	22537	0	0	n/a	n/a
SUNSTONE HOTEL INVS INC NEW	COM	867892101	3885	254722	SH	SOLE	254722	0	0	n/a	n/a
SUNTRUST BKS INC	COM	867914103	550495	10036376	SH	SOLE	10036376	0	0	n/a	n/a
SUNTRUST BKS INC	*W EXP 11/14/201	867914111	274	20654	SH	OTR	20654	0	0	n/a	n/a
SUNWORKS INC	COM	86803X105	10	4851	SH	SOLE	4851	0	0	n/a	n/a
SUPER MICRO COMPUTER INC	COM	86800U104	604	21532	SH	SOLE	21532	0	0	n/a	n/a
SUPERIOR ENERGY SVCS INC	COM	868157108	67014	3970040	SH	SOLE	3970040	0	0	n/a	n/a
SUPERIOR ENERGY SVCS INC	COM	868157108	268	15900	SH	SOLE	0	0	15900	2	n/a
SUPERIOR INDS INTL INC	COM	868168105	341	12951	SH	SOLE	12951	0	0	n/a	n/a
SUPERIOR UNIFORM GP INC	COM	868358102	51	2601	SH	SOLE	2601	0	0	n/a	n/a
SUPERNUS PHARMACEUTICALS INC	COM	868459108	640	25334	SH	SOLE	25334	0	0	n/a	n/a
SUPERVALU INC	COM	868536103	18381	3935946	SH	SOLE	3935946	0	0	n/a	n/a
SUPERVALU INC	COM	868536103	104	22260	SH	SOLE	0	0	22260	2	n/a
SUPPORT COM INC	COM	86858W101	41	48125	SH	SOLE	48125	0	0	n/a	n/a
SUPREME INDS INC	CL A	868607102	893	56900	SH	SOLE	56900	0	0	n/a	n/a
SURGERY PARTNERS INC	COM	86881A100	272	17162	SH	SOLE	17162	0	0	n/a	n/a
SURGICAL CARE AFFILIATES INC	COM	86881L106	2852	61644	SH	SOLE	61644	0	0	n/a	n/a
SURMODICS INC	COM	868873100	185	7270	SH	SOLE	7270	0	0	n/a	n/a
SVB FINL GROUP	COM	78486Q101	40176	234045	SH	SOLE	234045	0	0	n/a	n/a
SWEDISH EXPT CR CORP	ROG TTL ETN 22	870297801	5	1000	SH	SOLE	1000	0	0	n/a	n/a
SWIFT TRANSN CO	CL A	87074U101	1004	41231	SH	SOLE	41231	0	0	n/a	n/a
SWISS HELVETIA FD INC	COM	870875101	38	3705	SH	OTR	3705	0	0	n/a	n/a
SWISS HELVETIA FD INC	COM	870875101	0	0	SH	SOLE	0	0	0	n/a	n/a
SYKES ENTERPRISES INC	COM	871237103	596	20639	SH	SOLE	20639	0	0	n/a	n/a
SYMANTEC CORP	COM	871503108	421	17622	SH	OTR	0	17622	0	n/a	n/a
SYMANTEC CORP	COM	871503108	10475	438479	SH	SOLE	438479	0	0	n/a	n/a
SYMANTEC CORP	COM	871503108	7794	326248	SH	SOLE	0	0	326248	2	n/a
SYNALLOY CP DEL	COM	871565107	24	2147	SH	SOLE	2147	0	0	n/a	n/a
SYNAPTICS INC	COM	87157D109	3748	69959	SH	SOLE	69959	0	0	n/a	n/a
SYNCHRONOSS TECHNOLOGIES INC	COM	87157B103	839	21905	SH	SOLE	21905	0	0	n/a	n/a
SYNCHRONY FINL	COM	87165B103	14686	404906	SH	SOLE	386437	0	18469	n/a	n/a
SYNDAX PHARMACEUTICALS INC	COM	87164F105	7221	1007084	SH	SOLE	1007084	0	0	n/a	n/a
SYNDAX PHARMACEUTICALS INC	COM	87164F105	148	20588	SH	SOLE	20588	0	0	2	n/a
SYNERGY PHARMACEUTICALS DEL	COM NEW	871639308	853	140042	SH	SOLE	140042	0	0	n/a	n/a
SYNERGY RES CORP	COM	87164P103	906	101673	SH	SOLE	101673	0	0	n/a	n/a
SYNNEX CORP	COM	87162W100	17902	147930	SH	SOLE	147930	0	0	n/a	n/a
SYNOPSYS INC	COM	871607107	9168	155767	SH	SOLE	155767	0	0	n/a	n/a
SYNOPSYS INC	COM	871607107	6947	118033	SH	SOLE	0	0	118033	2	n/a
SYNOVUS FINL CORP	COM NEW	87161C501	3001	73048	SH	SOLE	73048	0	0	n/a	n/a
SYNTEL INC	COM	87162H103	325	16445	SH	SOLE	16445	0	0	n/a	n/a
SYNTHESIS ENERGY SYS INC	COM	871628103	6	5951	SH	SOLE	5951	0	0	n/a	n/a
SYNTHETIC BIOLOGICS INC	COM	87164U102	33	42832	SH	SOLE	42832	0	0	n/a	n/a
SYNUTRA INTL INC	COM	87164C102	45	8369	SH	SOLE	8369	0	0	n/a	n/a
SYROS PHARMACEUTICALS INC	COM	87184Q107	23	1887	SH	SOLE	1887	0	0	n/a	n/a
SYSCO CORP	COM	871829107	4304	77735	SH	SOLE	55063	0	22672	n/a	n/a
SYSCO CORP	COM	871829107	16875	304760	SH	SOLE	0	0	304760	2	n/a
SYSTEMAX INC	COM	871851101	51	5825	SH	SOLE	5825	0	0	n/a	n/a
T MOBILE US INC	COM	872590104	37930	659543	SH	SOLE	640652	0	18891	n/a	n/a
T2 BIOSYSTEMS INC	COM	89853L104	45	8627	SH	SOLE	8627	0	0	n/a	n/a
TABLEAU SOFTWARE INC	CL A	87336U105	1415	33581	SH	SOLE	33581	0	0	n/a	n/a
TABULA RASA HEALTHCARE INC	COM	873379101	33	2225	SH	SOLE	2225	0	0	n/a	n/a
TACTILE SYS TECHNOLOGY INC	COM	87357P100	28	1730	SH	SOLE	1730	0	0	n/a	n/a
TAHOE RES INC	COM	873868103	1250	132741	SH	SOLE	132741	0	0	n/a	n/a
TAILORED BRANDS INC	COM	87403A107	648	25374	SH	SOLE	25374	0	0	n/a	n/a
TAIWAN SEMICONDUCTOR MFG LTD	SPONSORED ADR	874039100	100500	3495667	SH	SOLE	3495667	0	0	n/a	n/a
TAKE-TWO INTERACTIVE SOFTWAR	COM	874054109	35784	725988	SH	SOLE	725988	0	0	n/a	n/a
TAL ED GROUP	ADS REPSTG COM	874080104	65	920	SH	SOLE	920	0	0	n/a	n/a
TANDEM DIABETES CARE INC	COM	875372104	22	10400	SH	SOLE	10400	0	0	n/a	n/a
TANGER FACTORY OUTLET CTRS I	COM	875465106	20177	563927	SH	SOLE	563927	0	0	n/a	n/a
TANGOE INC	COM	87582Y108	118	14916	SH	SOLE	14916	0	0	n/a	n/a
TARGA RES CORP	COM	87612G101	17962	320356	SH	SOLE	320356	0	0	n/a	n/a
TARGA RES CORP	COM	87612G101	4396	78397	SH	SOLE	0	0	78397	2	n/a
TARGET CORP	COM	87612E106	1409	19504	SH	OTR	0	19504	0	n/a	n/a
TARGET CORP	COM	87612E106	109086	1510262	SH	SOLE	1510262	0	0	n/a	n/a
TARGET CORP	COM	87612E106	26585	368060	SH	SOLE	0	0	368060	2	n/a
TARO PHARMACEUTICAL INDS LTD	SHS	M8737E108	705	6699	SH	SOLE	6699	0	0	n/a	n/a
TASER INTL INC	COM	87651B104	1409	58141	SH	SOLE	58141	0	0	n/a	n/a
TATA MTRS LTD	SPONSORED ADR	876568502	4447	129306	SH	SOLE	129306	0	0	n/a	n/a
TAUBMAN CTRS INC	COM	876664103	5448	73692	SH	SOLE	73692	0	0	n/a	n/a
TAYLOR MORRISON HOME CORP	CL A	87724P106	3601	186950	SH	SOLE	186950	0	0	n/a	n/a
TCF FINL CORP	COM	872275102	4576	233564	SH	SOLE	233564	0	0	n/a	n/a
TCF FINL CORP	*W EXP 11/14/201	872275128	112	31898	SH	OTR	31898	0	0	n/a	n/a
TD AMERITRADE HLDG CORP	COM	87236Y108	7697	176528	SH	SOLE	153879	0	22649	n/a	n/a
TE CONNECTIVITY LTD	REG SHS	H84989104	1430	20643	SH	SOLE	20643	0	0	n/a	n/a
TE CONNECTIVITY LTD	REG SHS	H84989104	14729	212594	SH	SOLE	0	0	212594	2	n/a
TEAM HEALTH HOLDINGS INC	COM	87817A107	1616	37200	SH	SOLE	37200	0	0	n/a	n/a
TEAM INC	COM	878155100	610	15551	SH	SOLE	15551	0	0	n/a	n/a
TECH DATA CORP	COM	878237106	1810	21379	SH	SOLE	21379	0	0	n/a	n/a
TECHTARGET INC	COM	87874R100	73	8551	SH	SOLE	8551	0	0	n/a	n/a
TEEKAY CORPORATION	COM	Y8564W103	199	24789	SH	SOLE	24789	0	0	n/a	n/a
TEEKAY TANKERS LTD	CL A	Y8565N102	95	42246	SH	SOLE	42246	0	0	n/a	n/a
TEGNA INC	COM	87901J105	2110	98640	SH	SOLE	98640	0	0	n/a	n/a
TEGNA INC	COM	87901J105	3007	140592	SH	SOLE	0	0	140592	2	n/a
TEJON RANCH CO	COM	879080109	202	7933	SH	SOLE	7933	0	0	n/a	n/a
TELADOC INC	COM	87918A105	6810	412698	SH	SOLE	412698	0	0	n/a	n/a
TELADOC INC	COM	87918A105	1026	62200	SH	SOLE	62200	0	0	2	n/a
TELEDYNE TECHNOLOGIES INC	COM	879360105	3077	25019	SH	SOLE	18208	0	6811	n/a	n/a
TELEFLEX INC	COM	879369106	4237	26293	SH	SOLE	26293	0	0	n/a	n/a
TELEFLEX INC	COM	879369106	6173	38306	SH	SOLE	0	0	38306	2	n/a
TELEFLEX INC	NOTE 3.875% 8/0	879369AA4	679	260000	PRN	SOLE	260000	0	0	n/a	n/a
TELEFONICA BRASIL SA	SPONSORED ADR	87936R106	1791	133827	SH	SOLE	133827	0	0	n/a	n/a
TELENAV INC	COM	879455103	127	17981	SH	SOLE	17981	0	0	n/a	n/a
TELEPHONE & DATA SYS INC	COM NEW	879433829	89533	3101232	SH	SOLE	3101232	0	0	n/a	n/a
TELETECH HOLDINGS INC	COM	879939106	300	9826	SH	SOLE	9826	0	0	n/a	n/a
TELIGENT INC NEW	COM	87960W104	145	21887	SH	SOLE	21887	0	0	n/a	n/a
TEMPUR SEALY INTL INC	COM	88023U101	2114	30959	SH	SOLE	30959	0	0	n/a	n/a
TENAX THERAPEUTICS INC	COM	88032L100	4	1873	SH	SOLE	1873	0	0	n/a	n/a
